Date2,Date,Open,High,Low,Close*,Adj Close**,Volume
2023-06-30,"Jun 30, 2023",191.63,194.48,191.26,193.97,193.97,85069600
2023-06-29,"Jun 29, 2023",189.08,190.07,188.94,189.59,189.59,46347300
2023-06-28,"Jun 28, 2023",187.93,189.90,187.60,189.25,189.25,51216800
2023-06-27,"Jun 27, 2023",185.89,188.39,185.67,188.06,188.06,50730800
2023-06-26,"Jun 26, 2023",186.83,188.05,185.23,185.27,185.27,48088700
2023-06-23,"Jun 23, 2023",185.55,187.56,185.01,186.68,186.68,53079300
2023-06-22,"Jun 22, 2023",183.74,187.05,183.67,187.00,187.0,51245300
2023-06-21,"Jun 21, 2023",184.90,185.41,182.59,183.96,183.96,49515700
2023-06-20,"Jun 20, 2023",184.41,186.10,184.41,185.01,185.01,49799100
2023-06-16,"Jun 16, 2023",186.73,186.99,184.27,184.92,184.92,101235600
2023-06-15,"Jun 15, 2023",183.96,186.52,183.78,186.01,186.01,65433200
2023-06-14,"Jun 14, 2023",183.37,184.39,182.02,183.95,183.95,57462900
2023-06-13,"Jun 13, 2023",182.80,184.15,182.44,183.31,183.31,54929100
2023-06-12,"Jun 12, 2023",181.27,183.89,180.97,183.79,183.79,54274900
2023-06-09,"Jun 09, 2023",181.50,182.23,180.63,180.96,180.96,48870700
2023-06-08,"Jun 08, 2023",177.90,180.84,177.46,180.57,180.57,50214900
2023-06-07,"Jun 07, 2023",178.44,181.21,177.32,177.82,177.82,61944600
2023-06-06,"Jun 06, 2023",179.97,180.12,177.43,179.21,179.21,64848400
2023-06-05,"Jun 05, 2023",182.63,184.95,178.04,179.58,179.58,121946500
2023-06-02,"Jun 02, 2023",181.03,181.78,179.26,180.95,180.95,61945900
2023-06-01,"Jun 01, 2023",177.70,180.12,176.93,180.09,180.09,68901800
2023-05-31,"May 31, 2023",177.33,179.35,176.76,177.25,177.25,99625300
2023-05-30,"May 30, 2023",176.96,178.99,176.57,177.30,177.3,55964400
2023-05-26,"May 26, 2023",173.32,175.77,173.11,175.43,175.43,54835000
2023-05-25,"May 25, 2023",172.41,173.90,171.69,172.99,172.99,56058300
2023-05-24,"May 24, 2023",171.09,172.42,170.52,171.84,171.84,45143500
2023-05-23,"May 23, 2023",173.13,173.38,171.28,171.56,171.56,50747300
2023-05-22,"May 22, 2023",173.98,174.71,173.45,174.20,174.2,43570900
2023-05-19,"May 19, 2023",176.39,176.39,174.94,175.16,175.16,55772400
2023-05-18,"May 18, 2023",173.00,175.24,172.58,175.05,175.05,65496700
2023-05-17,"May 17, 2023",171.71,172.93,170.42,172.69,172.69,57951600
2023-05-16,"May 16, 2023",171.99,173.14,171.80,172.07,172.07,42110300
2023-05-15,"May 15, 2023",173.16,173.21,171.47,172.07,172.07,37266700
2023-05-12,"May 12, 2023",173.62,174.06,171.00,172.57,172.57,45497800
2023-05-11,"May 11, 2023",173.85,174.59,172.17,173.75,173.51,49514700
2023-05-10,"May 10, 2023",173.02,174.03,171.90,173.56,173.32,53724500
2023-05-09,"May 09, 2023",173.05,173.54,171.60,171.77,171.53,45326900
2023-05-08,"May 08, 2023",172.48,173.85,172.11,173.50,173.26,55962800
2023-05-05,"May 05, 2023",170.98,174.30,170.76,173.57,173.33,113316400
2023-05-04,"May 04, 2023",164.89,167.04,164.31,165.79,165.56,81235400
2023-05-03,"May 03, 2023",169.50,170.92,167.16,167.45,167.22,65136000
2023-05-02,"May 02, 2023",170.09,170.35,167.54,168.54,168.31,48425700
2023-05-01,"May 01, 2023",169.28,170.45,168.64,169.59,169.36,52472900
2023-04-28,"Apr 28, 2023",168.49,169.85,167.88,169.68,169.45,55209200
2023-04-27,"Apr 27, 2023",165.19,168.56,165.19,168.41,168.18,64902300
2023-04-26,"Apr 26, 2023",163.06,165.28,162.80,163.76,163.53,45498800
2023-04-25,"Apr 25, 2023",165.19,166.31,163.73,163.77,163.54,48714100
2023-04-24,"Apr 24, 2023",165.00,165.60,163.89,165.33,165.1,41949600
2023-04-21,"Apr 21, 2023",165.05,166.45,164.49,165.02,164.79,58337300
2023-04-20,"Apr 20, 2023",166.09,167.87,165.56,166.65,166.42,52456400
2023-04-19,"Apr 19, 2023",165.80,168.16,165.54,167.63,167.4,47720200
2023-04-18,"Apr 18, 2023",166.10,167.41,165.65,166.47,166.24,49923000
2023-04-17,"Apr 17, 2023",165.09,165.39,164.03,165.23,165.0,41516200
2023-04-14,"Apr 14, 2023",164.59,166.32,163.82,165.21,164.98,49386500
2023-04-13,"Apr 13, 2023",161.63,165.80,161.42,165.56,165.33,68445600
2023-04-12,"Apr 12, 2023",161.22,162.06,159.78,160.10,159.88,50133100
2023-04-11,"Apr 11, 2023",162.35,162.36,160.51,160.80,160.58,47644200
2023-04-10,"Apr 10, 2023",161.42,162.03,160.08,162.03,161.81,47716900
2023-04-06,"Apr 06, 2023",162.43,164.96,162.00,164.66,164.43,45390100
2023-04-05,"Apr 05, 2023",164.74,165.05,161.80,163.76,163.53,51511700
2023-04-04,"Apr 04, 2023",166.60,166.84,165.11,165.63,165.4,46278300
2023-04-03,"Apr 03, 2023",164.27,166.29,164.22,166.17,165.94,56976200
2023-03-31,"Mar 31, 2023",162.44,165.00,161.91,164.90,164.67,68749800
2023-03-30,"Mar 30, 2023",161.53,162.47,161.27,162.36,162.14,49501700
2023-03-29,"Mar 29, 2023",159.37,161.05,159.35,160.77,160.55,51305700
2023-03-28,"Mar 28, 2023",157.97,158.49,155.98,157.65,157.43,45992200
2023-03-27,"Mar 27, 2023",159.94,160.77,157.87,158.28,158.06,52390300
2023-03-24,"Mar 24, 2023",158.86,160.34,157.85,160.25,160.03,59196500
2023-03-23,"Mar 23, 2023",158.83,161.55,157.68,158.93,158.71,67622100
2023-03-22,"Mar 22, 2023",159.30,162.14,157.81,157.83,157.61,75701800
2023-03-21,"Mar 21, 2023",157.32,159.40,156.54,159.28,159.06,73938300
2023-03-20,"Mar 20, 2023",155.07,157.82,154.15,157.40,157.18,73641400
2023-03-17,"Mar 17, 2023",156.08,156.74,154.28,155.00,154.79,98944600
2023-03-16,"Mar 16, 2023",152.16,156.46,151.64,155.85,155.63,76161100
2023-03-15,"Mar 15, 2023",151.19,153.25,149.92,152.99,152.78,77167900
2023-03-14,"Mar 14, 2023",151.28,153.40,150.10,152.59,152.38,73695900
2023-03-13,"Mar 13, 2023",147.81,153.14,147.70,150.47,150.26,84457100
2023-03-10,"Mar 10, 2023",150.21,150.94,147.61,148.50,148.29,68572400
2023-03-09,"Mar 09, 2023",153.56,154.54,150.23,150.59,150.38,53833600
2023-03-08,"Mar 08, 2023",152.81,153.47,151.83,152.87,152.66,47204800
2023-03-07,"Mar 07, 2023",153.70,154.03,151.13,151.60,151.39,56182000
2023-03-06,"Mar 06, 2023",153.79,156.30,153.46,153.83,153.62,87558000
2023-03-03,"Mar 03, 2023",148.04,151.11,147.33,151.03,150.82,70732300
2023-03-02,"Mar 02, 2023",144.38,146.71,143.90,145.91,145.71,52238100
2023-03-01,"Mar 01, 2023",146.83,147.23,145.01,145.31,145.11,55479000
2023-02-28,"Feb 28, 2023",147.05,149.08,146.83,147.41,147.21,50547000
2023-02-27,"Feb 27, 2023",147.71,149.17,147.45,147.92,147.72,44998500
2023-02-24,"Feb 24, 2023",147.11,147.19,145.72,146.71,146.51,55469600
2023-02-23,"Feb 23, 2023",150.09,150.34,147.24,149.40,149.19,48394200
2023-02-22,"Feb 22, 2023",148.87,149.95,147.16,148.91,148.7,51011300
2023-02-21,"Feb 21, 2023",150.20,151.30,148.41,148.48,148.27,58867200
2023-02-17,"Feb 17, 2023",152.35,153.00,150.85,152.55,152.34,59144100
2023-02-16,"Feb 16, 2023",153.51,156.33,153.35,153.71,153.5,68167900
2023-02-15,"Feb 15, 2023",153.11,155.50,152.88,155.33,155.12,65573800
2023-02-14,"Feb 14, 2023",152.12,153.77,150.86,153.20,152.99,61707600
2023-02-13,"Feb 13, 2023",150.95,154.26,150.92,153.85,153.64,62199000
2023-02-10,"Feb 10, 2023",149.46,151.34,149.22,151.01,150.8,57450700
2023-02-09,"Feb 09, 2023",153.78,154.33,150.42,150.87,150.43,56007100
